-	ENSFCAG00000032043	ENSFCAT00000032628	ENSFCAT00000032628.1
-	ENSFCAG00000032044	ENSFCAT00000032629	ENSFCAT00000032629.1
-	ENSFCAG00000032045	ENSFCAT00000032630	ENSFCAT00000032630.1
-	ENSFCAG00000032046	ENSFCAT00000032631	ENSFCAT00000032631.1
-	ENSFCAG00000032047	ENSFCAT00000032632	ENSFCAT00000032632.1
ND1	ENSFCAG00000032048	ENSFCAT00000032633	ENSFCAT00000032633.1
-	ENSFCAG00000032049	ENSFCAT00000032634	ENSFCAT00000032634.1
-	ENSFCAG00000032050	ENSFCAT00000032635	ENSFCAT00000032635.1
-	ENSFCAG00000032051	ENSFCAT00000032636	ENSFCAT00000032636.1
MT-ND2	ENSFCAG00000032052	ENSFCAT00000032637	ENSFCAT00000032637.1
-	ENSFCAG00000032053	ENSFCAT00000032638	ENSFCAT00000032638.1
-	ENSFCAG00000032054	ENSFCAT00000032639	ENSFCAT00000032639.1
-	ENSFCAG00000032055	ENSFCAT00000032640	ENSFCAT00000032640.1
-	ENSFCAG00000032056	ENSFCAT00000032641	ENSFCAT00000032641.1
-	ENSFCAG00000032057	ENSFCAT00000032642	ENSFCAT00000032642.1
MT-CO1	ENSFCAG00000032058	ENSFCAT00000032643	ENSFCAT00000032643.1
-	ENSFCAG00000032059	ENSFCAT00000032644	ENSFCAT00000032644.1
-	ENSFCAG00000032060	ENSFCAT00000032645	ENSFCAT00000032645.1
MT-CO2	ENSFCAG00000032061	ENSFCAT00000032646	ENSFCAT00000032646.1
-	ENSFCAG00000032062	ENSFCAT00000032647	ENSFCAT00000032647.1
MT-ATP8	ENSFCAG00000032063	ENSFCAT00000032648	ENSFCAT00000032648.1
ATP6	ENSFCAG00000032064	ENSFCAT00000032649	ENSFCAT00000032649.1
MT-CO3	ENSFCAG00000032065	ENSFCAT00000032650	ENSFCAT00000032650.1
-	ENSFCAG00000032066	ENSFCAT00000032651	ENSFCAT00000032651.1
MT-ND3	ENSFCAG00000032067	ENSFCAT00000032652	ENSFCAT00000032652.1
-	ENSFCAG00000032068	ENSFCAT00000032653	ENSFCAT00000032653.1
ND4L	ENSFCAG00000032069	ENSFCAT00000032654	ENSFCAT00000032654.1
MT-ND4	ENSFCAG00000032070	ENSFCAT00000032655	ENSFCAT00000032655.1
-	ENSFCAG00000032071	ENSFCAT00000032656	ENSFCAT00000032656.1
-	ENSFCAG00000032072	ENSFCAT00000032657	ENSFCAT00000032657.1
-	ENSFCAG00000032073	ENSFCAT00000032658	ENSFCAT00000032658.1
MT-ND5	ENSFCAG00000032074	ENSFCAT00000032659	ENSFCAT00000032659.1
MT-ND6	ENSFCAG00000032075	ENSFCAT00000032660	ENSFCAT00000032660.1
-	ENSFCAG00000032076	ENSFCAT00000032661	ENSFCAT00000032661.1
MT-CYB	ENSFCAG00000032077	ENSFCAT00000032662	ENSFCAT00000032662.1
-	ENSFCAG00000032078	ENSFCAT00000032663	ENSFCAT00000032663.1
-	ENSFCAG00000032079	ENSFCAT00000032664	ENSFCAT00000032664.1
-	ENSFCAG00000009438	ENSFCAT00000009440	ENSFCAT00000009440.5
-	ENSFCAG00000044377	ENSFCAT00000037767	ENSFCAT00000037767.3
-	ENSFCAG00000050458	ENSFCAT00000069275	ENSFCAT00000069275.1
-	ENSFCAG00000053749	ENSFCAT00000085260	ENSFCAT00000085260.1
-	ENSFCAG00000050871	ENSFCAT00000069648	ENSFCAT00000069648.1
-	ENSFCAG00000047062	ENSFCAT00000085618	ENSFCAT00000085618.1
-	ENSFCAG00000052971	ENSFCAT00000077318	ENSFCAT00000077318.1
-	ENSFCAG00000046662	ENSFCAT00000067178	ENSFCAT00000067178.2
-	ENSFCAG00000051240	ENSFCAT00000073100	ENSFCAT00000073100.1
-	ENSFCAG00000050997	ENSFCAT00000079224	ENSFCAT00000079224.1
-	ENSFCAG00000048629	ENSFCAT00000068220	ENSFCAT00000068220.1
-	ENSFCAG00000009669	ENSFCAT00000009671	ENSFCAT00000009671.5
5_8S_rRNA	ENSFCAG00000042531	ENSFCAT00000057529	ENSFCAT00000057529.1
-	ENSFCAG00000048944	ENSFCAT00000059635	ENSFCAT00000059635.2
-	ENSFCAG00000051064	ENSFCAT00000066050	ENSFCAT00000066050.2
OR4C5	ENSFCAG00000006793	ENSFCAT00000006793	ENSFCAT00000006793.4
-	ENSFCAG00000022129	ENSFCAT00000025495	ENSFCAT00000025495.3
-	ENSFCAG00000047276	ENSFCAT00000068119	ENSFCAT00000068119.1
-	ENSFCAG00000051536	ENSFCAT00000077287	ENSFCAT00000077287.1
-	ENSFCAG00000038564	ENSFCAT00000038654	ENSFCAT00000038654.2
SLC35G2	ENSFCAG00000003865	ENSFCAT00000003866	ENSFCAT00000003866.3
TREX1	ENSFCAG00000018562	ENSFCAT00000018826	ENSFCAT00000018826.4
NCLN	ENSFCAG00000029146	ENSFCAT00000031298	ENSFCAT00000031298.4
ARID3A	ENSFCAG00000027384	ENSFCAT00000030591	ENSFCAT00000030591.4
-	ENSFCAG00000051844	ENSFCAT00000068916	ENSFCAT00000068916.1
-	ENSFCAG00000047662	ENSFCAT00000075225	ENSFCAT00000075225.1
CCDC182	ENSFCAG00000001699	ENSFCAT00000001699	ENSFCAT00000001699.4
-	ENSFCAG00000049414	ENSFCAT00000067325	ENSFCAT00000067325.1
-	ENSFCAG00000049454	ENSFCAT00000078826	ENSFCAT00000078826.1
EIF1B	ENSFCAG00000003255	ENSFCAT00000003255	ENSFCAT00000003255.5
-	ENSFCAG00000041119	ENSFCAT00000066382	ENSFCAT00000066382.2
EPDR1	ENSFCAG00000046351	ENSFCAT00000055170	ENSFCAT00000055170.2
-	ENSFCAG00000029757	ENSFCAT00000066835	ENSFCAT00000066835.2
TAC1	ENSFCAG00000027120	ENSFCAT00000053156	ENSFCAT00000053156.2
FAM126A	ENSFCAG00000011016	ENSFCAT00000011019	ENSFCAT00000011019.6
U6	ENSFCAG00000043108	ENSFCAT00000057660	ENSFCAT00000057660.1
TFF3	ENSFCAG00000029722	ENSFCAT00000032524	ENSFCAT00000032524.3
-	ENSFCAG00000050487	ENSFCAT00000079100	ENSFCAT00000079100.1
SYNPR	ENSFCAG00000038136	ENSFCAT00000061488	ENSFCAT00000061488.2
-	ENSFCAG00000041217	ENSFCAT00000055190	ENSFCAT00000055190.2
-	ENSFCAG00000048344	ENSFCAT00000085390	ENSFCAT00000085390.1
-	ENSFCAG00000053657	ENSFCAT00000069786	ENSFCAT00000069786.1
B3GALT6	ENSFCAG00000045789	ENSFCAT00000053873	ENSFCAT00000053873.1
-	ENSFCAG00000043244	ENSFCAT00000066928	ENSFCAT00000066928.2
-	ENSFCAG00000051169	ENSFCAT00000081288	ENSFCAT00000081288.1
CYYR1	ENSFCAG00000011117	ENSFCAT00000011121	ENSFCAT00000011121.6
-	ENSFCAG00000043316	ENSFCAT00000054244	ENSFCAT00000054244.2
ATP13A3	ENSFCAG00000009317	ENSFCAT00000040302	ENSFCAT00000040302.3
-	ENSFCAG00000053033	ENSFCAT00000084519	ENSFCAT00000084519.1
-	ENSFCAG00000043249	ENSFCAT00000063748	ENSFCAT00000063748.2
-	ENSFCAG00000048543	ENSFCAT00000077058	ENSFCAT00000077058.1
CLIC6	ENSFCAG00000006760	ENSFCAT00000006762	ENSFCAT00000006762.5
SWI5	ENSFCAG00000005838	ENSFCAT00000033073	ENSFCAT00000033073.3
GIP	ENSFCAG00000008946	ENSFCAT00000008947	ENSFCAT00000008947.5
-	ENSFCAG00000046808	ENSFCAT00000070810	ENSFCAT00000070810.1
NCOA4	ENSFCAG00000027549	ENSFCAT00000043552	ENSFCAT00000043552.3
-	ENSFCAG00000048276	ENSFCAT00000077480	ENSFCAT00000077480.1
CCDC183	ENSFCAG00000018649	ENSFCAT00000018782	ENSFCAT00000018782.4
ZWINT	ENSFCAG00000029281	ENSFCAT00000079300	ENSFCAT00000079300.1
MACROH2A2	ENSFCAG00000001225	ENSFCAT00000065115	ENSFCAT00000065115.2
-	ENSFCAG00000032130	ENSFCAT00000032806	ENSFCAT00000032806.3
DCLRE1A	ENSFCAG00000011833	ENSFCAT00000011836	ENSFCAT00000011836.6
NEK8	ENSFCAG00000004023	ENSFCAT00000030115	ENSFCAT00000030115.3
-	ENSFCAG00000030445	ENSFCAT00000026033	ENSFCAT00000026033.4
STOML2	ENSFCAG00000001123	ENSFCAT00000073962	ENSFCAT00000073962.1
KCND2	ENSFCAG00000007877	ENSFCAT00000007877	ENSFCAT00000007877.4
TEX10	ENSFCAG00000015634	ENSFCAT00000041975	ENSFCAT00000041975.3
HES2	ENSFCAG00000040264	ENSFCAT00000051277	ENSFCAT00000051277.2
ZNF683	ENSFCAG00000012809	ENSFCAT00000012813	ENSFCAT00000012813.5
U2	ENSFCAG00000051850	ENSFCAT00000083746	ENSFCAT00000083746.1
RND2	ENSFCAG00000023276	ENSFCAT00000044076	ENSFCAT00000044076.3
ZMIZ1	ENSFCAG00000011569	ENSFCAT00000011574	ENSFCAT00000011574.6
CDK3	ENSFCAG00000005766	ENSFCAT00000005768	ENSFCAT00000005768.5
DMBX1	ENSFCAG00000011876	ENSFCAT00000011879	ENSFCAT00000011879.6
ENO3	ENSFCAG00000001731	ENSFCAT00000035559	ENSFCAT00000035559.3
PLXNA4	ENSFCAG00000013120	ENSFCAT00000085337	ENSFCAT00000085337.1
F3	ENSFCAG00000012767	ENSFCAT00000012770	ENSFCAT00000012770.5
-	ENSFCAG00000053162	ENSFCAT00000080828	ENSFCAT00000080828.1
-	ENSFCAG00000049705	ENSFCAT00000075054	ENSFCAT00000075054.1
-	ENSFCAG00000047075	ENSFCAT00000075458	ENSFCAT00000075458.1
-	ENSFCAG00000047188	ENSFCAT00000071579	ENSFCAT00000071579.1
-	ENSFCAG00000051847	ENSFCAT00000072250	ENSFCAT00000072250.1
-	ENSFCAG00000047682	ENSFCAT00000072285	ENSFCAT00000072285.1
ABCG1	ENSFCAG00000012701	ENSFCAT00000012704	ENSFCAT00000012704.6
-	ENSFCAG00000046140	ENSFCAT00000057800	ENSFCAT00000057800.2
SPIN1	ENSFCAG00000032225	ENSFCAT00000060593	ENSFCAT00000060593.2
U3	ENSFCAG00000044949	ENSFCAT00000065092	ENSFCAT00000065092.1
