gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
ENSFCAG00000002791:P2RY8	0	12	3	0	3	113.269923914819	1882.90300535522	1882.90300535522	78.6982899577599	5.95079541199084e-14	2.64960253737456e-09	0	4.71763826512068e-05	2.67190713998389e-11	2.37934307856236e-06	0	0.0423643916207837	0	0
ENSFCAG00000012230:B2M	0	9	0	0	1	333.42910482777	0	0	78.9187333469973	9.99200722162641e-16	0.947079199536783	1.0547118733939e-14	0.0125161391099918	8.97282248502052e-13	0.966916603700468	4.73565631153861e-12	1	4.9960036108132e-15	2.24320562125513e-12
ENSFCAG00000010003:TRAF3	0	0	1	1	3	0	266.91383606318	266.91383606318	49.5149170560247	0.619471948502821	4.90724407565812e-05	0.00019853645507828	0.000177984568600277	0.798151315183741	0.0110167629498525	0.0254693909514707	0.0799150713015243	6.41651232480278e-07	0.000192067602255763
ENSFCAG00000009623:TP53	0	6	1	0	0	56.8537788601915	140.047726260515	140.047726260515	0	4.40729074124846e-07	0.00665502074747037	2.64851231168706e-07	1	0.000131924902854704	0.309860857820342	6.55911145502341e-05	1	4.27578411499319e-06	0.000841977187156395
ENSFCAG00000030732:IKZF3	0	4	0	2	0	38.7986601401178	381.613290867513	381.613290867513	0	7.09027692112896e-05	2.32429429696257e-05	2.92165320936455e-07	1	0.0106117811252897	0.00717125067376201	6.55911145502341e-05	1	4.68806897080398e-06	0.000841977187156395
ENSFCAG00000028389:MAP2K1	0	5	0	0	1	61.7659685007819	0	0	23.8358610870373	1.64680853720345e-06	0.914188235391103	1.00521580115309e-05	0.0402995463414554	0.000369708516602174	0.966916603700468	0.00150447298239246	1	6.36778216966949e-06	0.000953044731393867
ENSFCAG00000025854:CASP8	0	3	0	2	0	33.6070809072363	376.122871074338	376.122871074338	0	0.000600564295648587	2.39574075960869e-05	1.63080243809066e-06	1	0.0770438196417759	0.00717125067376201	0.000292892117881083	1	2.33635906244922e-05	0.002997214911542
ENSFCAG00000023383:GNA13	0	4	0	0	1	41.4008046820515	0	0	24.8447864240547	5.51583718771953e-05	0.934500878416476	0.000290916436804789	0.0387250344573618	0.00990644358914428	0.966916603700468	0.0290269955834112	1	0.000139624803859206	0.0156728842331959
ENSFCAG00000008135:TNFAIP3	0	1	1	1	1	5.89517469818869	225.235151469221	225.235151469221	11.6662475382518	0.215199752788521	7.00002615905415e-05	0.000276312955194924	0.0790835353263707	0.798151315183741	0.0125720469816613	0.0290269955834112	1	0.000256348489286462	0.0255778825976937
ENSFCAG00000033129:FAS	1	2	0	0	2	17.5156112439595	0	0	59.6274874177313	0.0103347850825177	0.900229400588401	0.0368247178967652	0.00103200081144453	0.488454579163206	0.966916603700468	0.847912735161415	0.308912242892395	0.000424793072970497	0.0381464179527507
ENSFCAG00000036644:CCND3	0	0	1	0	1	0	293.146349851758	293.146349851758	32.052318321818	0.71910785427734	0.00296498041422311	0.010877619816868	0.0302749957514236	0.798151315183741	0.259500039975517	0.542672366419302	1	0.00296996519086057	0.242457158308436
ENSFCAG00000032144:ACTG1	0	2	0	1	0	21.4171105540381	350.954213354818	350.954213354818	0	0.00923970447629241	0.00243738859803866	0.000641723202005173	1	0.46743401418721	0.243197217893191	0.0576267435400646	1	0.0053592573070248	0.401051088475689
ENSFCAG00000026268:INPP4B	0	2	0	0	2	11.5244913915001	0	0	19.9815516346653	0.0312919989205483	0.866444592420935	0.0955871644639932	0.00813896993883736	0.798151315183741	0.966916603700468	0.976975969205427	1	0.00634739837716336	0.421949379755497
ENSFCAG00000045832:ID3	0	1	1	0	0	31.5169123426331	693.12768774953	693.12768774953	0	0.0346752553658548	0.00116598340159146	0.000810324460144063	1	0.798151315183741	0.149579013518448	0.0661519422917608	1	0.00657827540821487	0.421949379755497
ENSFCAG00000019200:PTEN	0	2	0	1	0	24.3757417184468	158.69519564306	158.69519564306	0	0.0071134691542426	0.00580120580173138	0.00111991278390666	1	0.456278235750704	0.309860857820342	0.0838068066623486	1	0.00872916519817624	0.516132287357859
ENSFCAG00000009445:KDM6A	0	0	2	0	0	0	91.0273880732233	91.0273880732233	0	0.477415210130716	0.000466101046250444	0.00123443008212831	1	0.798151315183741	0.0697597899221498	0.0852706318270173	1	0.00950158842990478	0.516132287357859
ENSFCAG00000037105:RPL22	0	1	0	0	1	36.1084796009285	0	0	72.8010020797883	0.0298132909264687	0.944536025975131	0.094048970356494	0.0135539704387916	0.798151315183741	0.966916603700468	0.976975969205427	1	0.00977087849118441	0.516132287357859
ENSFCAG00000012814:ARID1A	0	0	1	0	2	0	51.9408441172358	51.9408441172358	8.2199818540855	0.389397519015309	0.0199106325473888	0.0363349356929622	0.037870634112376	0.798151315183741	0.63856242955554	0.847912735161415	1	0.0104420568207531	0.520942612502013
ENSFCAG00000001242:NFKB2	0	1	0	0	2	5.39008002672807	0	0	20.3716470028041	0.236052351696571	0.872743241162699	0.486304523111202	0.00785689888595489	0.798151315183741	0.966916603700468	0.976975969205427	1	0.0250925755930759	0.999896172540474
ENSFCAG00000009873:PTPRK	1	4	0	0	1	8.47757566778167	0	0	6.31987164757247	0.00836963966169535	0.780384482722081	0.0284130724482953	0.137006081437676	0.46743401418721	0.966916603700468	0.780828457117204	1	0.0254922922568781	0.999896172540474
ENSFCAG00000007517:JAK3	0	1	0	1	1	3.97537997546152	68.6999307123924	68.6999307123924	7.61664985262991	0.32070247451385	0.0146037667675779	0.0397197516987782	0.116339201017133	0.798151315183741	0.546424273220207	0.86995943964641	1	0.0294685904794101	0.999896172540474
ENSFCAG00000008561:CARD11	0	3	0	0	1	11.4778016039385	0	0	8.06815229234767	0.0124750248697134	0.857767018825809	0.0423569303750397	0.110533749466465	0.533455825381078	0.966916603700468	0.884570313413621	1	0.0297956924839647	0.999896172540474
ENSFCAG00000044847:BCL11B	0	4	0	0	0	18.0558846240916	0	0	0	0.00123291567315875	0.92327526890383	0.00532789350507246	1	0.13839478431207	0.966916603700468	0.341746311968219	1	0.0332183468756129	0.999896172540474
ENSFCAG00000028848:CIITA	1	1	1	0	1	2.55917339130734	54.2808993461163	54.2808993461163	8.01307958045451	0.461622385078877	0.0170762831468385	0.0510652111031772	0.111210665557203	0.798151315183741	0.584133939114817	0.935848154503125	1	0.0350449759941343	0.999896172540474
ENSFCAG00000000142:FGF6	0	0	0	1	0	0	570.045641351296	570.045641351296	0	0.773881971145982	0.00144026152409449	0.00582931634217188	1	0.803405792010511	0.161669356079606	0.348981738351356	1	0.0358203068836689	0.999896172540474
ENSFCAG00000015088:KLHL6	0	3	0	0	0	23.0900102478593	0	0	0	0.00179660925605973	0.915606794105608	0.00753219116992021	1	0.179261679104627	0.966916603700468	0.422744229411772	1	0.0443538295906128	0.999896172540474
ENSFCAG00000025339:DDX3X	0	3	0	0	0	21.9653490043668	0	0	0	0.00207371730168726	0.883336151375473	0.00847372675964964	1	0.186219813691516	0.966916603700468	0.44761215471561	1	0.0489000541927903	0.999896172540474
ENSFCAG00000015690:PTPRC	1	0	0	0	2	0	0	0	14.4481988742964	0.380806929813264	0.798570691372491	0.662286877559952	0.0145612211038205	0.798151315183741	0.966916603700468	0.976975969205427	1	0.054404481741487	0.999896172540474
ENSFCAG00000026584:LRP1B	0	5	0	1	1	6.48566844690154	16.9831638012569	16.9831638012569	2.04159331919406	0.0242084799627875	0.0687914041489462	0.0318332410254677	0.330854486583962	0.764937048350656	0.966916603700468	0.816750012596285	1	0.0584885225471392	0.999896172540474
ENSFCAG00000028366:XBP1	0	0	0	1	0	0	253.933987651366	253.933987651366	0	0.69302835412547	0.00346770654755701	0.0122761431547654	1	0.798151315183741	0.259500039975517	0.558054851784274	1	0.0662923697257073	0.999896172540474
ENSFCAG00000035249:EIF1AX	0	0	0	1	0	0	261.158301049889	261.158301049889	0	0.812364270044093	0.00336314286423633	0.0129583522372539	1	0.821512516328374	0.259500039975517	0.558054851784274	1	0.0692755420448111	0.999896172540474
ENSFCAG00000004500:LTB	0	2	0	0	0	34.5131189450422	0	0	0	0.00349550620594441	0.944480075348303	0.0139841076871374	1	0.2681105496008	0.966916603700468	0.558054851784274	1	0.0736939227841937	0.999896172540474
ENSFCAG00000027154:BCL11A	0	0	1	0	0	0	191.00764504298	191.00764504298	0	0.559303863639426	0.00473443499792281	0.0139852178857988	1	0.798151315183741	0.309860857820342	0.558054851784274	1	0.0736986631038493	0.999896172540474
ENSFCAG00000013046:GADD45B	0	2	0	0	0	34.1016792355081	0	0	0	0.00358276903698174	0.941586366221439	0.0142931643552765	1	0.2681105496008	0.966916603700468	0.558054851784274	1	0.0750101531006498	0.999896172540474
