gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
ENSFCAG00000002791:P2RY8	0	12	3	0	3	113.269923914822	1882.90300535528	1882.90300535528	78.6982899577599	5.95079541199084e-14	2.64960253737456e-09	0	4.71763826512068e-05	2.67190713998389e-11	2.37934307856236e-06	0	0.0423643916207837	0	0
ENSFCAG00000012230:B2M	0	9	0	0	1	333.429104827781	0	0	78.9187333469973	9.99200722162641e-16	0.947079199536868	1.0547118733939e-14	0.0125161391099918	8.97282248502052e-13	0.966916603700468	4.73565631153861e-12	1	4.9960036108132e-15	2.24320562125513e-12
ENSFCAG00000010003:TRAF3	0	0	1	1	3	0	266.913836063188	266.913836063188	49.5149170560247	0.619471948502825	4.90724407565812e-05	0.00019853645507828	0.000177984568600277	0.798151315183747	0.0110167629498525	0.0254693909514707	0.0799150713015243	6.41651232480278e-07	0.000192067602255763
ENSFCAG00000009623:TP53	0	6	1	0	0	56.8537788601934	140.04772626052	140.04772626052	0	4.40729074124846e-07	0.00665502074747026	2.64851231168706e-07	1	0.000131924902854704	0.309860857820337	6.55911145502341e-05	1	4.27578411499319e-06	0.000841977187156395
ENSFCAG00000030732:IKZF3	0	4	0	2	0	38.7986601401191	381.613290867525	381.613290867525	0	7.09027692112896e-05	2.32429429696257e-05	2.92165320936455e-07	1	0.0106117811252897	0.00717125067376201	6.55911145502341e-05	1	4.68806897080398e-06	0.000841977187156395
ENSFCAG00000028389:MAP2K1	0	5	0	0	1	61.7659685007839	0	0	23.8358610870373	1.64680853720345e-06	0.91418823539105	1.00521580115309e-05	0.0402995463414554	0.000369708516602174	0.966916603700468	0.00150447298239246	1	6.36778216966949e-06	0.000953044731393867
ENSFCAG00000025854:CASP8	0	3	0	2	0	33.6070809072374	376.122871074351	376.122871074351	0	0.000600564295648587	2.39574075960869e-05	1.63080243809066e-06	1	0.0770438196417759	0.00717125067376201	0.000292892117881083	1	2.33635906244922e-05	0.002997214911542
ENSFCAG00000023383:GNA13	0	4	0	0	1	41.4008046820529	0	0	24.8447864240547	5.51583718771953e-05	0.93450087841651	0.000290916436804789	0.0387250344573618	0.00990644358914428	0.966916603700468	0.0290269955834112	1	0.000139624803859206	0.0156728842331959
ENSFCAG00000008135:TNFAIP3	0	1	1	1	1	5.89517469818888	225.235151469229	225.235151469229	11.6662475382518	0.215199752788515	7.00002615905415e-05	0.000276312955194924	0.0790835353263707	0.798151315183747	0.0125720469816613	0.0290269955834112	1	0.000256348489286462	0.0255778825976937
ENSFCAG00000033129:FAS	1	2	0	0	2	17.5156112439598	0	0	59.6274874177313	0.0103347850825174	0.900229400588401	0.0368247178967642	0.00103200081144453	0.488454579163191	0.966916603700468	0.847912735161392	0.308912242892395	0.000424793072970497	0.0381464179527507
ENSFCAG00000036644:CCND3	0	0	1	0	1	0	293.146349851767	293.146349851767	32.052318321818	0.719107854277346	0.002964980414223	0.0108776198168677	0.0302749957514236	0.798151315183747	0.259500039975517	0.542672366419291	1	0.00296996519086046	0.242457158308426
ENSFCAG00000032144:ACTG1	0	2	0	1	0	21.4171105540388	350.954213354829	350.954213354829	0	0.00923970447629208	0.00243738859803866	0.000641723202005062	1	0.467434014187193	0.243197217893191	0.0576267435400546	1	0.00535925730702391	0.401051088475623
ENSFCAG00000026268:INPP4B	0	2	0	0	2	11.5244913915005	0	0	19.9815516346653	0.031291998920547	0.866444592420935	0.0955871644639898	0.00813896993883736	0.798151315183747	0.966916603700468	0.976975969205428	1	0.00634739837716314	0.421949379755447
ENSFCAG00000045832:ID3	0	1	1	0	0	31.5169123426341	693.127687749555	693.127687749555	0	0.0346752553658537	0.00116598340159146	0.000810324460143952	1	0.798151315183747	0.149579013518448	0.0661519422917517	1	0.0065782754082141	0.421949379755447
ENSFCAG00000019200:PTEN	0	2	0	1	0	24.3757417184476	158.695195643065	158.695195643065	0	0.00711346915424227	0.00580120580173116	0.00111991278390666	1	0.456278235750683	0.309860857820337	0.0838068066623486	1	0.00872916519817624	0.516132287357847
ENSFCAG00000009445:KDM6A	0	0	2	0	0	0	91.0273880732263	91.0273880732263	0	0.477415210130723	0.000466101046250444	0.00123443008212831	1	0.798151315183747	0.0697597899221498	0.0852706318270173	1	0.00950158842990478	0.516132287357847
ENSFCAG00000037105:RPL22	0	1	0	0	1	36.1084796009297	0	0	72.8010020797883	0.0298132909264678	0.944536025975152	0.0940489703564917	0.0135539704387916	0.798151315183747	0.966916603700468	0.976975969205428	1	0.00977087849118419	0.516132287357847
ENSFCAG00000012814:ARID1A	0	0	1	0	2	0	51.9408441172375	51.9408441172375	8.2199818540855	0.389397519015317	0.0199106325473883	0.0363349356929616	0.037870634112376	0.798151315183747	0.638562429555526	0.847912735161392	1	0.0104420568207529	0.520942612502008
ENSFCAG00000001242:NFKB2	0	1	0	0	2	5.39008002672825	0	0	20.3716470028041	0.236052351696565	0.872743241162707	0.486304523111193	0.00785689888595489	0.798151315183747	0.966916603700468	0.976975969205428	1	0.0250925755930755	0.999896172540474
ENSFCAG00000009873:PTPRK	1	4	0	0	1	8.47757566778183	0	0	6.31987164757247	0.00836963966169513	0.780384482722081	0.0284130724482944	0.137006081437676	0.467434014187193	0.966916603700468	0.780828457117169	1	0.0254922922568774	0.999896172540474
ENSFCAG00000007517:JAK3	0	1	0	1	1	3.97537997546165	68.6999307123946	68.6999307123946	7.61664985262991	0.320702474513842	0.0146037667675775	0.039719751698777	0.116339201017133	0.798151315183747	0.54642427322019	0.869959439646383	1	0.0294685904794093	0.999896172540474
ENSFCAG00000008561:CARD11	0	3	0	0	1	11.4778016039388	0	0	8.06815229234767	0.012475024869713	0.857767018825809	0.042356930375038	0.110533749466465	0.533455825381059	0.966916603700468	0.884570313413583	1	0.0297956924839637	0.999896172540474
ENSFCAG00000044847:BCL11B	0	4	0	0	0	18.0558846240922	0	0	0	0.00123291567315864	0.92327526890383	0.00532789350507223	1	0.138394784312057	0.966916603700468	0.341746311968205	1	0.0332183468756116	0.999896172540474
ENSFCAG00000028848:CIITA	1	1	1	0	1	2.55917339130739	54.2808993461172	54.2808993461172	8.01307958045451	0.461622385078868	0.0170762831468382	0.0510652111031763	0.111210665557203	0.798151315183747	0.584133939114799	0.935848154503109	1	0.0350449759941338	0.999896172540474
ENSFCAG00000000142:FGF6	0	0	0	1	0	0	570.045641351314	570.045641351314	0	0.773881971145985	0.00144026152409438	0.00582931634217176	1	0.803405792010513	0.161669356079594	0.34898173835135	1	0.0358203068836683	0.999896172540474
ENSFCAG00000015088:KLHL6	0	3	0	0	0	23.0900102478601	0	0	0	0.00179660925605962	0.915606794105594	0.00753219116991977	1	0.179261679104616	0.966916603700468	0.422744229411747	1	0.0443538295906107	0.999896172540474
ENSFCAG00000025339:DDX3X	0	3	0	0	0	21.9653490043675	0	0	0	0.00207371730168715	0.883336151375473	0.0084737267596493	1	0.186219813691506	0.966916603700468	0.447612154715593	1	0.0489000541927886	0.999896172540474
ENSFCAG00000015690:PTPRC	1	0	0	0	2	0	0	0	14.4481988742964	0.380806929813269	0.798570691372496	0.662286877559957	0.0145612211038205	0.798151315183747	0.966916603700468	0.976975969205428	1	0.0544044817414874	0.999896172540474
ENSFCAG00000026584:LRP1B	0	5	0	1	1	6.48566844690176	16.9831638012575	16.9831638012575	2.04159331919406	0.0242084799627862	0.0687914041489454	0.031833241025466	0.330854486583962	0.764937048350625	0.966916603700468	0.816750012596243	1	0.0584885225471368	0.999896172540474
ENSFCAG00000028366:XBP1	0	0	0	1	0	0	253.933987651374	253.933987651374	0	0.693028354125474	0.00346770654755701	0.0122761431547652	1	0.798151315183747	0.259500039975517	0.558054851784252	1	0.0662923697257063	0.999896172540474
ENSFCAG00000035249:EIF1AX	0	0	0	1	0	0	261.158301049897	261.158301049897	0	0.812364270044098	0.00336314286423622	0.0129583522372537	1	0.821512516328378	0.259500039975517	0.558054851784252	1	0.0692755420448101	0.999896172540474
ENSFCAG00000004500:LTB	0	2	0	0	0	34.5131189450434	0	0	0	0.0034955062059443	0.944480075348323	0.013984107687137	1	0.268110549600792	0.966916603700468	0.558054851784252	1	0.0736939227841918	0.999896172540474
ENSFCAG00000027154:BCL11A	0	0	1	0	0	0	191.007645042986	191.007645042986	0	0.559303863639432	0.0047344349979227	0.0139852178857984	1	0.798151315183747	0.309860857820337	0.558054851784252	1	0.073698663103848	0.999896172540474
ENSFCAG00000013046:GADD45B	0	2	0	0	0	34.1016792355092	0	0	0	0.00358276903698163	0.941586366221439	0.0142931643552759	1	0.268110549600792	0.966916603700468	0.558054851784252	1	0.0750101531006475	0.999896172540474
ENSFCAG00000005090:AMER1	0	0	1	0	0	0	162.63496972517	162.63496972517	0	0.548969317602698	0.00564715809662586	0.016158338572534	1	0.798151315183747	0.309860857820337	0.57782496570778	1	0.0828166403774189	0.999896172540474
ENSFCAG00000009461:SMARCD1	0	1	0	0	1	9.51646807730645	0	0	18.2002505199471	0.129530350084698	0.893845528480793	0.31260075087996	0.052141303874661	0.798151315183747	0.966916603700468	0.976975969205428	1	0.083397994050162	0.999896172540474
ENSFCAG00000000479:CALR	0	0	0	1	0	0	185.474545748044	185.474545748044	0	0.679328284136181	0.00488937333030137	0.016562559768074	1	0.798151315183747	0.309860857820337	0.57782496570778	1	0.0844791673630447	0.999896172540474
ENSFCAG00000002457:TBL1XR1	0	1	0	0	1	9.68627424000963	0	0	17.5538864827901	0.127081584168664	0.891711729007705	0.307818881366345	0.0539598337111446	0.798151315183747	0.966916603700468	0.976975969205428	1	0.0846730418984658	0.999896172540474
ENSFCAG00000041416:IRS2	0	4	0	0	0	12.6014609979138	0	0	0	0.00430213315349448	0.920957915887927	0.0167298987844123	1	0.297178120910619	0.966916603700468	0.57782496570778	1	0.0851645169835356	0.999896172540474
ENSFCAG00000002901:PCLO	1	3	1	0	2	2.22849121048661	18.9201349350011	18.9201349350011	3.60235108104821	0.348596534059855	0.0552232798755132	0.131659175362672	0.127072657313636	0.798151315183747	0.966916603700468	0.976975969205428	1	0.0851660815710766	0.999896172540474
ENSFCAG00000000093:KMT2D	1	0	1	0	1	0	14.7502105441885	14.7502105441885	1.77395717194799	0.146000921088745	0.0728281106582753	0.0472972137853768	0.362951797120885	0.798151315183747	0.966916603700468	0.921574412610621	1	0.086945253429075	0.999896172540474
ENSFCAG00000026440:TRIM27	0	0	0	1	0	0	149.145507973591	149.145507973591	0	0.641272538684195	0.00621032216572626	0.0197883786350217	1	0.798151315183747	0.309860857820337	0.658146815342573	1	0.0974114689004303	0.999896172540474
ENSFCAG00000008160:FCGR2B	1	0	0	1	0	0	130.08743734958	130.08743734958	0	0.645026724454022	0.00649779824915919	0.0212595778746243	1	0.798151315183747	0.309860857820337	0.681825033264736	1	0.103129101704433	0.999896172540474
ENSFCAG00000027163:FGF19	0	0	0	0	1	0	0	0	42.6878603104213	0.743110650656009	0.954624512285232	0.946230689348383	0.0229010890757896	0.798151315183747	0.966916603700468	0.976975969205428	1	0.104704580887614	0.999896172540474
ENSFCAG00000041254:CCDC6	0	0	0	1	0	0	135.497507553794	135.497507553794	0	0.663774617968814	0.00690113269087611	0.0222678196479414	1	0.798151315183747	0.309860857820337	0.689534553236256	1	0.106988249256657	0.999896172540474
ENSFCAG00000025772:MST1	0	1	0	1	0	6.05999954262057	85.8734611655147	85.8734611655147	0	0.209120551717405	0.0114096655088148	0.0249590534505479	1	0.798151315183747	0.445473027257205	0.741855311488536	1	0.117070905917138	0.999896172540474
ENSFCAG00000023614:LYN	0	0	1	0	0	0	115.492430628697	115.492430628697	0	0.646132416473956	0.00822770907971004	0.0256097045168648	1	0.798151315183747	0.35183251207522	0.741855311488536	1	0.119463737740181	0.999896172540474
ENSFCAG00000005630:BRSK1	0	0	1	0	0	0	92.2323614919601	92.2323614919601	0	0.576614400395175	0.0105439294477165	0.0294206055128833	1	0.798151315183747	0.430384029274975	0.780828457117169	1	0.133159425268234	0.999896172540474
ENSFCAG00000006634:LRIG3	0	3	0	0	0	13.406003867684	0	0	0	0.00823375113842617	0.878302079360984	0.0295636609598928	1	0.467434014187193	0.966916603700468	0.780828457117169	1	0.133663500119446	0.999896172540474
ENSFCAG00000006671:NFKBIA	0	0	0	0	1	0	0	0	29.8137437088657	0.718731753226958	0.917348253605146	0.932377395029314	0.0324759682423796	0.798151315183747	0.966916603700468	0.976975969205428	1	0.136176776244401	0.999896172540474
ENSFCAG00000042993:GATA3	0	2	0	0	0	21.2692383649502	0	0	0	0.00936950139796155	0.930649696518156	0.0339209661918033	1	0.467434014187193	0.966916603700468	0.846139656673315	1	0.148700085214748	0.999896172540474
ENSFCAG00000009774:MEF2B	1	0	0	0	1	0	0	0	24.9769395433316	0.626672623802872	0.913525299809399	0.883443804479896	0.0385278651334336	0.798151315183747	0.966916603700468	0.976975969205428	1	0.14909320187292	0.999896172540474
ENSFCAG00000013146:BRCA1	0	0	1	0	0	0	58.1612272295871	58.1612272295871	0	0.430969997706995	0.0175630471671487	0.0359110676874285	1	0.798151315183747	0.584133939114799	0.847912735161392	1	0.155376766296461	0.999896172540474
ENSFCAG00000010755:PRDM1	0	1	0	0	1	5.83748202478557	0	0	11.4249747789449	0.217405930725482	0.911920605574744	0.463106271405713	0.0806217792048249	0.798151315183747	0.966916603700468	0.976975969205428	1	0.160090683525614	0.999896172540474
ENSFCAG00000012425:AFF4	0	0	1	0	0	0	65.5112284658619	65.5112284658619	0	0.524575798738612	0.0153930386274779	0.0381290999455597	1	0.798151315183747	0.552917947499005	0.855998293777815	1	0.162688386134965	0.999896172540474
ENSFCAG00000004894:SMARCA4	0	2	0	0	1	5.85344402819049	0	0	5.69862212881837	0.107481230153615	0.829244952849523	0.262025541398628	0.149749852244359	0.798151315183747	0.966916603700468	0.976975969205428	1	0.16629587148375	0.999896172540474
ENSFCAG00000000746:AGO1	0	1	0	0	1	5.64132014642032	0	0	10.9456052078003	0.225231989562893	0.866987505987155	0.469475565516674	0.0838627027487374	0.798151315183747	0.966916603700468	0.976975969205428	1	0.166726972821395	0.999896172540474
ENSFCAG00000024841:ETV6	0	0	0	0	1	0	0	0	21.8403006239365	0.670861047275257	0.920302846511985	0.909356706285104	0.0438238192846712	0.798151315183747	0.966916603700468	0.976975969205428	1	0.168276702254394	0.999896172540474
ENSFCAG00000041539:MYC	0	2	0	0	0	18.9345227219818	0	0	0	0.0118307355767368	0.938878894942089	0.0418205721956102	1	0.53120002739548	0.966916603700468	0.884570313413583	1	0.174574412426654	0.999896172540474
ENSFCAG00000015103:CHEK1	0	0	0	0	1	0	0	0	19.6883213171754	0.673869911300595	0.901155589249669	0.908613252267792	0.0483870281495836	0.798151315183747	0.966916603700468	0.976975969205428	1	0.181327846520829	0.999896172540474
ENSFCAG00000000247:PIK3C2G	0	3	0	0	0	11.2245516281226	0	0	0	0.0132311220711164	0.836216479695983	0.0440330427398615	1	0.540070346357389	0.966916603700468	0.898674372281719	1	0.18154008714589	0.999896172540474
ENSFCAG00000041932:RUNX2	2	0	0	0	1	0	0	0	16.0535543047738	0.463097214556166	0.855096644070352	0.7522746233985	0.0587129862466961	0.798151315183747	0.966916603700468	0.976975969205428	1	0.181962230625431	0.999896172540474
ENSFCAG00000006278:ARID1B	1	0	0	1	0	0	26.5415108065636	26.5415108065636	0	0.255021797711204	0.0378731858723638	0.0474975038137065	1	0.798151315183747	0.966916603700468	0.921574412610621	1	0.192226108468175	0.999896172540474
ENSFCAG00000009924:IL21R	0	0	0	0	1	0	0	0	17.4236164532332	0.643994468131675	0.921281868243603	0.894640988697424	0.054341812802586	0.798151315183747	0.966916603700468	0.976975969205428	1	0.195622435662825	0.999896172540474
ENSFCAG00000006814:LPP	0	2	0	0	0	17.2486020313736	0	0	0	0.0142459880576764	0.90624253251917	0.0488715938654141	1	0.556212925034496	0.966916603700468	0.921574412610621	1	0.19639338111621	0.999896172540474
ENSFCAG00000014850:PIK3C2B	0	0	1	0	0	0	42.9881608298939	42.9881608298939	0	0.441111093478534	0.0245632457172701	0.0492601022330844	1	0.798151315183747	0.735259821803618	0.921574412610621	1	0.197564576365835	0.999896172540474
ENSFCAG00000012180:AKT2	0	0	0	0	1	0	0	0	16.4184078117005	0.623170841313914	0.899260452111007	0.879742242599748	0.0574816663492248	0.798151315183747	0.966916603700468	0.976975969205428	1	0.20148810935042	0.999896172540474
ENSFCAG00000002012:ARID3B	0	0	0	0	1	0	0	0	16.1363045846953	0.618697836655679	0.915313788986245	0.878914931692368	0.0584291148644493	0.798151315183747	0.966916603700468	0.976975969205428	1	0.20382532293406	0.999896172540474
ENSFCAG00000009216:ATIC	0	2	0	0	0	16.1040812546455	0	0	0	0.0163207765885208	0.890555498842847	0.0547941922374994	1	0.610669057353821	0.966916603700468	0.976975969205428	1	0.213925900231476	0.999896172540474
ENSFCAG00000007992:EZR	0	0	0	0	1	0	0	0	14.6739519817073	0.600855872269329	0.886689465415854	0.864035014158222	0.0638877852904335	0.798151315183747	0.966916603700468	0.976975969205428	1	0.215106654303797	0.999896172540474
ENSFCAG00000004243:EWSR1	0	0	0	0	1	0	0	0	14.1862979883575	0.626124479974102	0.872329370909751	0.87754124982184	0.0659421556652437	0.798151315183747	0.966916603700468	0.976975969205428	1	0.222765157285008	0.999896172540474
ENSFCAG00000018774:TCF7L2	0	0	0	0	1	0	0	0	13.9337229499891	0.602919428148482	0.880357085054338	0.864432460593211	0.0670590085255027	0.798151315183747	0.966916603700468	0.976975969205428	1	0.223052942454416	0.999896172540474
ENSFCAG00000008547:EBF1	0	2	0	0	0	15.4113343546146	0	0	0	0.0177986703773096	0.891017501164916	0.0591386067831775	1	0.639328239952963	0.966916603700468	0.976975969205428	1	0.226374976974461	0.999896172540474
ENSFCAG00000026883:PIK3R2	0	0	0	0	1	0	0	0	12.9179219646392	0.564231554547097	0.889520736811627	0.839561710690783	0.0719606882963012	0.798151315183747	0.966916603700468	0.976975969205428	1	0.229972007391098	0.999896172540474
ENSFCAG00000027384:ARID3A	0	0	0	0	1	0	0	0	12.4553438571521	0.570103649638273	0.911043837737356	0.846306334581299	0.0744384511342755	0.798151315183747	0.966916603700468	0.976975969205428	1	0.237164826634924	0.999896172540474
ENSFCAG00000001371:MLH1	0	0	0	0	1	0	0	0	12.3732928436004	0.587719444522225	0.880958144955753	0.854573947556611	0.0748958767148015	0.798151315183747	0.966916603700468	0.976975969205428	1	0.23993899461087	0.999896172540474
ENSFCAG00000038026:NKX2-1	1	2	0	0	0	12.3337662933973	0	0	0	0.0208887618922303	0.916687544747233	0.0687536125568151	1	0.70567962030976	0.966916603700468	0.976975969205428	1	0.252822571518371	0.999896172540474
ENSFCAG00000025248:ARAF	0	2	0	0	0	14.0900764904391	0	0	0	0.0212175386952823	0.895623826409766	0.0690746350149027	1	0.70567962030976	0.966916603700468	0.976975969205428	1	0.253681272898111	0.999896172540474
ENSFCAG00000013540:ARHGEF28	0	1	1	0	0	3.12399091355152	43.0389597909284	43.0389597909284	0	0.404469096772104	0.0245310529958842	0.0695495222761394	1	0.798151315183747	0.735259821803618	0.976975969205428	1	0.254948812556005	0.999896172540474
ENSFCAG00000014571:STAT6	0	0	0	0	1	0	0	0	11.1139991340742	0.580923596544104	0.870444649675316	0.848386352707071	0.0826949504156527	0.798151315183747	0.966916603700468	0.976975969205428	1	0.256566240886271	0.999896172540474
ENSFCAG00000006091:FURIN	0	0	0	0	1	0	0	0	10.6962747930441	0.549178286169694	0.886521022660939	0.828235350957976	0.0856535775078008	0.798151315183747	0.966916603700468	0.976975969205428	1	0.258645118448392	0.999896172540474
ENSFCAG00000041663:PGR	2	1	0	0	1	2.26316149405849	0	0	10.0657334065302	0.50600364171066	0.852807078253805	0.78600279652372	0.0905433567282749	0.798151315183747	0.966916603700468	0.976975969205428	1	0.259242761196474	0.999896172540474
ENSFCAG00000022680:ZNRF3	1	0	0	0	1	0	0	0	8.63173645982783	0.40357102176693	0.873737928897501	0.697790477942866	0.104052395708184	0.798151315183747	0.966916603700468	0.976975969205428	1	0.263032338349442	0.999896172540474
ENSFCAG00000009655:SETDB1	0	1	0	0	1	3.91976098807983	0	0	7.27446109085413	0.325174266392156	0.858648626143243	0.60260811940332	0.121162108619794	0.798151315183747	0.966916603700468	0.976975969205428	1	0.264097327566367	0.999896172540474
ENSFCAG00000028493:DIS3	0	0	0	0	1	0	0	0	9.79283552480989	0.549546025051012	0.864247101217301	0.825242834330366	0.0928371256684516	0.798151315183747	0.966916603700468	0.976975969205428	1	0.27343135995444	0.999896172540474
ENSFCAG00000012847:BRAF	0	2	0	0	0	13.0303598042989	0	0	0	0.0247028668175592	0.872201504608884	0.0781282333715536	1	0.764937048350625	0.966916603700468	0.976975969205428	1	0.277308647215144	0.999896172540474
ENSFCAG00000005686:MSH3	0	0	0	0	1	0	0	0	8.34043451891002	0.520726516047838	0.855349212320068	0.80190667816091	0.107304578208674	0.798151315183747	0.966916603700468	0.976975969205428	1	0.297111469203298	0.999896172540474
ENSFCAG00000006810:BCL6	0	2	0	0	0	12.2574160238831	0	0	0	0.0278002003237533	0.915266058099177	0.0878612960663978	1	0.798151315183747	0.966916603700468	0.976975969205428	1	0.301539606906286	0.999896172540474
