gene_name	n_syn	n_mis	n_non	n_spl	wmis_cv	wnon_cv	wspl_cv	pmis_cv	ptrunc_cv	pallsubs_cv	qmis_cv	qtrunc_cv	qallsubs_cv
ENSFCAG00000009623:TP53	5	27	15	5	4.42383038094501	48.8327005717052	48.8327005717052	8.04806152627791e-05	0	0	0.0722715925059756	0	0
ENSFCAG00000041663:PGR	3	20	4	1	3.53862071561954	14.2264086930679	14.2264086930679	0.00478451890324116	0.000175266195100554	0.000201631069547181	0.34934790893033	0.0524630144000992	0.0866036398848807
ENSFCAG00000023517:NOTCH1	8	14	7	0	1.09312700546325	8.98887952306079	8.98887952306079	0.829011853990847	9.32589159657882e-05	0.000289321736809178	0.995797464779573	0.0418732532686389	0.0866036398848807
ENSFCAG00000006448:ROS1	18	52	0	0	1.64346254571225	0	0	0.0507552783836831	0.00986445357859811	0.00112832777216498	0.597618863976729	0.738189942798425	0.241479519353543
ENSFCAG00000011506:PAK3	8	33	2	0	3.32854415664955	2.06748492402929	2.06748492402929	0.000276969696737406	0.387651341242815	0.00134454075363888	0.124359393835095	0.80209713507085	0.241479519353543
ENSFCAG00000014965:NTRK3	11	28	0	0	2.64951775811727	0	0	0.00243586464160828	0.161196364699384	0.00178561764210439	0.312486635452033	0.80209713507085	0.267247440434957
ENSFCAG00000000787:APC	5	16	6	1	0.948992201304526	5.77843908300143	5.77843908300143	0.908031392556506	0.0019018474564011	0.00233833970751018	0.995797464779573	0.300192520393397	0.299975579620592
ENSFCAG00000014803:MED12	3	25	0	0	3.56564404839582	0	0	0.00313887610559216	0.28018819158212	0.00284365043492663	0.337496135492913	0.80209713507085	0.319199761320514
ENSFCAG00000038081:PRKN	6	21	1	1	3.6476714285032	3.10081277675459	3.10081277675459	0.000841427584502896	0.203642916158425	0.00334545072226888	0.251867323627867	0.80209713507085	0.333801638733051
ENSFCAG00000014272:CTLA4	2	9	0	2	4.6688115179683	12.8335081499399	12.8335081499399	0.00662208229950079	0.0159216932070637	0.00419850137814803	0.371664369059482	0.80209713507085	0.377025423757693
ENSFCAG00000024132:TNFRSF11A	4	9	4	0	1.35216021802856	10.6555062733574	10.6555062733574	0.562616837641035	0.00161577391249434	0.00660035475223719	0.979059399630756	0.300192520393397	0.44088304128432
ENSFCAG00000006344:CD276	6	0	0	0	0	0	0	0.00199086764277756	0.422497685492793	0.00702384004557377	0.312486635452033	0.80209713507085	0.44088304128432
ENSFCAG00000025160:HSD3B2	3	8	2	1	2.85303521326823	11.9244845121397	11.9244845121397	0.0603779656865586	0.00430453224890914	0.00772356687747699	0.602437924294774	0.351406359956401	0.44088304128432
ENSFCAG00000033201:NEGR1	1	11	0	1	5.72769972300996	5.66329455931245	5.66329455931245	0.00238634948350014	0.201994346542455	0.00823393108397974	0.312486635452033	0.80209713507085	0.44088304128432
ENSFCAG00000006923:CCNB1IP1	1	3	3	0	1.60075636451604	17.2944082862218	17.2944082862218	0.564426937567672	0.00206280503231659	0.00846831337494447	0.979059399630756	0.300192520393397	0.44088304128432
ENSFCAG00000012781:SHQ1	0	9	2	1	4.03681094970074	15.7594052886341	15.7594052886341	0.0409906871147193	0.00385414592912792	0.00858361530635277	0.581267056951724	0.351406359956401	0.44088304128432
ENSFCAG00000008986:PREX2	19	62	5	0	2.08892295176425	1.6063139693208	1.6063139693208	0.00208200557356841	0.364817816294374	0.00874966710877478	0.312486635452033	0.80209713507085	0.44088304128432
ENSFCAG00000015112:MPL	7	10	5	1	1.1398555151749	5.78130771588583	5.78130771588583	0.775137541078664	0.00267432089437325	0.00883729926850529	0.995797464779573	0.300192520393397	0.44088304128432
ENSFCAG00000007992:EZR	2	1	2	1	0.329067501053581	8.46325050235151	8.46325050235151	0.272495069963229	0.0128747976488116	0.00941876012498866	0.833396304882183	0.80209713507085	0.44516034695999
ENSFCAG00000009155:RSPO3	4	6	4	0	1.60607911493319	9.54986645304979	9.54986645304979	0.412914385910046	0.00241928367883038	0.0100265467119804	0.892635161885495	0.300192520393397	0.450191947367922
ENSFCAG00000005782:RSPO2	1	9	0	0	5.40872881061899	0	0	0.00526148125343229	0.50444388144209	0.0114581061172149	0.34934790893033	0.80209713507085	0.468242255398631
ENSFCAG00000018336:TCL1B	1	7	0	0	6.6899799534469	0	0	0.00338247797264613	0.706889072801248	0.0114714138293651	0.337496135492913	0.81083542445124	0.468242255398631
ENSFCAG00000025224:FGF12	3	11	1	0	4.25367420104823	5.39639404418749	5.39639404418749	0.00462931439672842	0.202841672394368	0.0131498013174894	0.34934790893033	0.80209713507085	0.494809548675974
ENSFCAG00000024457:PTPRD	15	54	5	1	2.08826019066087	2.4472819597969	2.4472819597969	0.00503381136983161	0.0815373471057903	0.0133970167489308	0.34934790893033	0.80209713507085	0.494809548675974
ENSFCAG00000008765:PAX7	1	10	1	1	4.0789117442697	11.5518061719464	11.5518061719464	0.018055427303836	0.0218681308108954	0.0137753215110238	0.506680428713898	0.80209713507085	0.494809548675974
ENSFCAG00000026908:PRKCI	1	8	3	1	2.41070607871159	9.92006386300407	9.92006386300407	0.167328809390323	0.00395464532284595	0.0149082651132796	0.797765778145482	0.351406359956401	0.514908541220195
ENSFCAG00000005955:PAK5	12	30	0	0	2.00927897188893	0	0	0.0255952515338184	0.151149214427419	0.0167923670820208	0.560598436033388	0.80209713507085	0.558501690357581
ENSFCAG00000006864:GPC3	2	12	0	0	3.99648407178899	0	0	0.00876625486267002	0.468554110428045	0.0175963560210036	0.381113646754315	0.80209713507085	0.564340275245045
ENSFCAG00000008018:REL	3	0	0	0	0	0	0	0.00604603104374513	0.344807075823773	0.0185866281354388	0.361955725152208	0.80209713507085	0.566662158164508
ENSFCAG00000027261:TGFBR1	1	9	2	1	3.44188880606498	9.36032507460738	9.36032507460738	0.0436224673857935	0.0117528225639996	0.0189308070656294	0.581267056951724	0.80209713507085	0.566662158164508
ENSFCAG00000027460:CPS1	14	43	3	0	2.1677323973513	1.49194222487579	1.49194222487579	0.00544640392541718	0.543598417369627	0.0207230983657669	0.34934790893033	0.80209713507085	0.580890898341183
ENSFCAG00000013299:FLT1	10	34	0	1	2.27557811775324	0.715565066714721	0.715565066714721	0.00955091888454207	0.735884504621941	0.0212062499963892	0.381113646754315	0.816263242224068	0.580890898341183
ENSFCAG00000024012:GRM3	17	35	3	0	2.09447898368584	2.46589678878265	2.46589678878265	0.00769675491104982	0.192794854966606	0.0213467702063018	0.381113646754315	0.80209713507085	0.580890898341183
ENSFCAG00000002574:TFE3	1	12	0	0	4.32745372510652	0	0	0.010198193019891	0.578822093323493	0.0246696576439078	0.381113646754315	0.80209713507085	0.633914838758803
ENSFCAG00000009906:PTPRB	13	41	1	0	1.95219368730019	0.488425121444998	0.488425121444998	0.0202460962566675	0.440028506519293	0.0252374212947019	0.5213226625118	0.80209713507085	0.633914838758803
ENSFCAG00000027902:ERBB4	16	47	1	1	1.90245957766616	0.705584557840187	0.705584557840187	0.0154891747236234	0.623937468069265	0.0255651551456223	0.463642630060461	0.80209713507085	0.633914838758803
ENSFCAG00000012236:MEN1	7	1	0	0	0.12198969852091	0	0	0.00990179083519516	0.299055646488638	0.0261189855613315	0.381113646754315	0.80209713507085	0.633914838758803
ENSFCAG00000011854:ALB	4	17	2	0	3.09222759471801	3.88887931891107	3.88887931891107	0.0106100681167682	0.142717309412158	0.0271473089416002	0.381113646754315	0.80209713507085	0.641533774462026
ENSFCAG00000036606:FGF10	5	13	1	0	3.21035620165541	4.20196218031722	4.20196218031722	0.0100793733296661	0.259726095234042	0.0279579191251194	0.381113646754315	0.80209713507085	0.643749009598902
ENSFCAG00000033716:FGF14	3	11	1	0	3.78774084500202	3.54098727524141	3.54098727524141	0.00924346246745511	0.316969271838076	0.0297546785260625	0.381113646754315	0.80209713507085	0.667992532910103
ENSFCAG00000006262:CREBBP	7	28	4	0	2.17824050053902	4.09069094385672	4.09069094385672	0.0309215596495065	0.0360300675582605	0.031866800374697	0.581267056951724	0.80209713507085	0.683821744390428
ENSFCAG00000018126:WAS	4	17	0	0	2.71975042218933	0	0	0.0242691635916253	0.333602380041397	0.0323839439909999	0.544842722631989	0.80209713507085	0.683821744390428
ENSFCAG00000000247:PIK3C2G	3	18	0	0	2.47300852813518	0	0	0.0525744880335876	0.215091975603131	0.0340785746077584	0.597618863976729	0.80209713507085	0.683821744390428
ENSFCAG00000014491:PRKD1	5	22	1	0	2.8198470022493	1.43443654366266	1.43443654366266	0.00994296714291276	0.74689637555377	0.0342649911055635	0.381113646754315	0.81894132508826	0.683821744390428
ENSFCAG00000043034:FGF3	1	7	0	0	5.16750611687622	0	0	0.0112295664536355	0.708856173601771	0.0342672366342642	0.387851949052487	0.811929647824477	0.683821744390428
ENSFCAG00000007999:MKNK1	3	0	0	1	0	2.68948317895709	2.68948317895709	0.0224486233084928	0.419245020846417	0.0377558643362683	0.530496413974384	0.80209713507085	0.698372737438576
ENSFCAG00000009695:PTPN11	3	0	0	0	0	0	0	0.0137096914208438	0.359856615944846	0.03792863183593	0.448923902408691	0.80209713507085	0.698372737438576
