gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
ENSFCAG00000023460:ELF4	0	1	0	0	1	33.3329470602981	0	0	116.857207890744	0.0242999834787199	0.951118366995774	0.0789906609129443	0.00852078975025259	0.913157550531892	0.98575872381957	0.996291872718248	1	0.00558889277350705	0.99999311638232
ENSFCAG00000009047:CD274	0	2	0	0	0	131.773474534226	0	0	0	0.000186390135088255	0.96503753511365	0.00092527519080321	1	0.100881711856308	0.98575872381957	0.484038168100532	1	0.0073887104230097	0.99999311638232
ENSFCAG00000002154:STAT3	0	1	0	0	1	25.1034688007849	0	0	99.881841763943	0.0333897582502256	0.927507240286244	0.103624655443953	0.00996167062439887	0.913157550531892	0.98575872381957	0.996291872718248	1	0.00813018559905887	0.99999311638232
ENSFCAG00000001953:JAK1	0	3	0	0	0	52.5922218653488	0	0	0	0.000224680872731198	0.92329227151967	0.00107803600913259	1	0.100881711856308	0.98575872381957	0.484038168100532	1	0.00844384037252133	0.99999311638232
ENSFCAG00000003659:DNMT3A	0	1	0	0	1	17.0794508050321	0	0	72.9942180094787	0.0514718801018552	0.924555721976157	0.149432624478517	0.013605913830714	0.913157550531892	0.98575872381957	0.996291872718248	1	0.0146350651534994	0.99999311638232
ENSFCAG00000041416:IRS2	0	0	1	0	0	0	754.220651843297	754.220651843297	0	0.679475519317425	0.000794506864150502	0.00330483326722375	1	0.913157550531892	0.662774757205492	0.989246757988976	1	0.0221832612177884	0.99999311638232
ENSFCAG00000023466:POT1	0	2	0	0	0	55.3386325788178	0	0	0	0.00108254282654685	0.930006657014065	0.00472954852527441	1	0.300812995414186	0.98575872381957	0.996291872718248	1	0.0300511991212306	0.99999311638232
ENSFCAG00000028112:STAT5B	0	2	0	0	0	49.5447302275892	0	0	0	0.00133992425574248	0.92644269318178	0.00575327814349114	1	0.300812995414186	0.98575872381957	0.996291872718248	1	0.0354286032396046	0.99999311638232
ENSFCAG00000025854:CASP8	0	0	0	0	1	0	0	0	160.435208333333	0.834502761790277	0.952219886525992	0.976655725617149	0.00621357986905863	0.913157550531892	0.98575872381957	0.996291872718248	1	0.0370461757759342	0.99999311638232
ENSFCAG00000002457:TBL1XR1	0	0	0	0	1	0	0	0	143.941869158879	0.824575411838115	0.941084122167288	0.973070615833436	0.00692307231551937	0.913157550531892	0.98575872381957	0.996291872718248	1	0.040421138079582	0.99999311638232
ENSFCAG00000039893:CHN1	0	0	1	0	0	0	339.039447880786	339.039447880786	0	0.815406532563978	0.00188515218665875	0.00777908102596292	1	0.913157550531892	0.662774757205492	0.996291872718248	1	0.0455567649843382	0.99999311638232
ENSFCAG00000000620:FBXW7	0	0	0	1	0	0	258.010554387475	258.010554387475	0	0.793527640404463	0.00253694893477641	0.0101414096878234	1	0.913157550531892	0.662774757205492	0.996291872718248	1	0.0567019223831008	0.99999311638232
ENSFCAG00000011321:INPP5D	0	0	1	0	0	0	199.845003808933	199.845003808933	0	0.726413544589347	0.00335224448232918	0.0127304176015253	1	0.913157550531892	0.662774757205492	0.996291872718248	1	0.0682829182395603	0.99999311638232
ENSFCAG00000013185:SETD1B	0	0	0	0	1	0	0	0	72.1732895970009	0.737921084371503	0.946353295510541	0.94341887665754	0.013759598982602	0.913157550531892	0.98575872381957	0.996291872718248	1	0.0693742339578798	0.99999311638232
ENSFCAG00000005090:AMER1	0	0	0	0	1	0	0	0	67.9690203000883	0.749849738012732	0.936744205217813	0.947453055566952	0.0146044376128804	0.913157550531892	0.98575872381957	0.996291872718248	1	0.0730651024322789	0.99999311638232
ENSFCAG00000034298:CUX1	0	0	1	0	0	0	167.562254737231	167.562254737231	0	0.662739587675309	0.00406478386650655	0.0146629808680036	1	0.913157550531892	0.662774757205492	0.996291872718248	1	0.076576380467118	0.99999311638232
